gender,age,country,city,customer_segment,tenure_months,signup_channel,contract_type,monthly_logins,weekly_active_days,avg_session_time,features_used,usage_growth_rate,last_login_days_ago,monthly_fee,total_revenue,payment_method,payment_failures,discount_applied,price_increase_last_3m,support_tickets,avg_resolution_time,complaint_type,csat_score,escalations,email_open_rate,marketing_click_rate,nps_score,survey_response,referral_count
Male,69,India,Dhaka,Individual,59,Mobile,Quarterly,12,3,33.5578787453728,4,-0.4,7,100,5900,Card,2,No,No,2,26.0881396169304,Technical,4.0,0,0.36,0.23,54,Satisfied,1
Female,32,Germany,Dhaka,Individual,6,Referral,Quarterly,8,0,19.701663915827893,5,0.07,0,20,120,Card,0,No,No,5,20.30464210144472,,4.0,2,0.31,0.32,-21,Unsatisfied,1
Female,70,India,Berlin,Enterprise,15,Web,Monthly,8,0,15.741468652917936,6,0.19,3,10,150,Card,0,No,No,3,16.944238726042702,,3.0,0,0.39,0.44,48,Unsatisfied,0
Female,39,Canada,Sydney,Individual,23,Web,Monthly,12,6,7.637978106222124,4,0.13,3,20,460,Card,0,No,No,1,12.354401724243369,,3.0,0,0.14,0.23,8,Unsatisfied,1
Female,42,UK,Berlin,Individual,1,Web,Monthly,17,0,13.482878708819808,1,0.41,0,10,10,Card,0,No,No,0,15.249763954822456,Billing,3.0,1,0.61,0.03,-25,Satisfied,3
Female,74,Canada,Dhaka,Individual,57,Web,Monthly,13,4,23.54518158032312,3,-0.18,7,70,3990,Bank Transfer,0,No,No,4,42.20209944779599,Billing,4.0,0,0.1,0.35,86,Satisfied,1
Female,20,Australia,Dhaka,Individual,5,Web,Monthly,30,6,17.220226733993414,5,0.1,3,10,50,PayPal,0,Yes,Yes,1,18.176924705697385,,4.0,0,0.33,0.1,-28,Satisfied,0
Female,59,UK,Toronto,SME,38,Web,Monthly,16,5,1.0,7,-0.19,18,30,1140,PayPal,0,Yes,No,1,25.5662564214714,,4.0,0,0.14,0.29,43,Satisfied,2
Male,23,UK,Delhi,Individual,52,Web,Yearly,21,2,12.875027668786377,6,-0.14,7,30,1560,Card,1,No,No,1,20.46601309093332,,4.0,1,0.11,0.34,12,Unsatisfied,3
Male,22,USA,London,Individual,57,Mobile,Monthly,38,6,19.580927111264486,2,0.09,4,20,1140,Card,1,Yes,No,2,30.28490330719168,Technical,3.0,1,0.35,0.4,-9,Satisfied,1
Female,19,Bangladesh,Dhaka,Individual,4,Web,Yearly,16,5,7.853737555414172,4,0.01,0,70,280,Card,1,No,No,0,36.82672881168652,Billing,4.0,2,0.24,0.25,41,Neutral,0
Male,22,Canada,Sydney,Enterprise,6,Mobile,Quarterly,23,5,16.205895128780835,3,-0.11,21,70,420,PayPal,0,Yes,No,0,3.3129456005015285,,4.0,0,0.52,0.38,28,Satisfied,2
Female,25,USA,London,Individual,20,Mobile,Monthly,8,4,12.567444960946949,6,0.06,2,10,200,Card,1,No,No,1,12.167050732543366,Service,2.0,1,0.36,0.32,-7,Unsatisfied,3
Female,36,Germany,London,SME,13,Web,Monthly,11,7,19.417977827043053,6,0.23,2,50,650,Bank Transfer,0,No,No,2,15.616502906416152,Service,3.0,1,0.18,0.08,35,Satisfied,0
Female,33,USA,New York,SME,46,Web,Monthly,16,6,5.33341416064437,8,0.1,3,30,1380,PayPal,0,No,No,2,38.91012034792856,,3.0,1,0.45,0.43,32,Satisfied,0
Male,30,Germany,Berlin,Individual,40,Referral,Quarterly,24,5,10.352441542981197,2,0.01,0,10,400,Bank Transfer,1,No,No,1,29.81006558128669,Service,3.0,0,0.9,0.34,71,Satisfied,1
Female,73,Germany,Sydney,SME,58,Referral,Quarterly,36,3,8.185036023960773,1,-0.12,0,10,580,Card,1,No,No,1,5.787658021686067,Technical,4.0,3,0.52,0.38,7,Satisfied,0
Male,34,Germany,Sydney,Individual,34,Web,Quarterly,6,0,12.759784564163434,8,0.44,4,30,1020,Card,1,Yes,No,2,9.033213951433428,,4.0,0,0.42,0.24,-16,Neutral,1
Female,54,Germany,London,Individual,36,Web,Quarterly,24,4,15.206853010182751,6,0.04,0,100,3600,Card,0,No,Yes,2,17.45643245389697,,5.0,0,0.3,0.24,58,Unsatisfied,0
Female,61,Bangladesh,Delhi,SME,41,Mobile,Yearly,25,6,20.94810222035726,2,-0.07,32,20,820,Card,0,No,No,3,17.640647014731314,Service,4.0,0,0.82,0.19,-3,Satisfied,0
Male,32,India,Toronto,SME,38,Mobile,Yearly,15,0,9.609558858293074,3,0.15,7,20,760,Bank Transfer,0,No,No,0,17.47086608550322,Billing,2.0,1,0.52,0.18,-19,Satisfied,0
Female,58,UK,Sydney,Individual,4,Mobile,Monthly,15,4,22.11202777115151,5,0.21,4,30,120,Bank Transfer,0,Yes,Yes,0,39.80210221966646,Technical,3.0,1,0.51,0.07,28,Neutral,1
Male,26,USA,New York,Enterprise,52,Web,Quarterly,30,3,22.887472196845557,7,0.04,0,10,520,Card,0,Yes,No,1,26.160648557670115,Service,4.0,0,0.25,0.07,0,Neutral,2
Male,48,UK,Dhaka,SME,41,Web,Monthly,12,2,17.3858463133543,4,0.14,6,30,1230,Bank Transfer,0,Yes,No,1,23.241374449831326,Technical,2.0,0,0.82,0.16,47,Satisfied,0
Male,49,USA,Delhi,SME,39,Referral,Monthly,15,3,15.906786148010871,8,-0.11,9,100,3900,Card,1,No,No,1,19.16345910799376,Technical,2.0,0,0.44,0.34,44,Satisfied,0
Male,31,Germany,Berlin,Enterprise,9,Referral,Quarterly,11,3,6.967422562881767,7,-0.12,3,50,450,Card,1,No,Yes,0,35.10885402757123,,4.0,1,0.36,0.39,34,Neutral,0
Female,49,Bangladesh,Dhaka,Individual,24,Mobile,Monthly,18,6,17.696843534564255,8,0.0,39,50,1200,Card,0,Yes,No,1,44.75393251277424,Service,4.0,0,0.43,0.17,16,Neutral,1
Female,33,UK,Dhaka,Individual,16,Web,Quarterly,42,7,25.75239499202295,5,-0.13,4,50,800,Bank Transfer,2,No,Yes,1,39.67250019474379,Billing,4.0,0,0.64,0.46,4,Satisfied,1
Female,31,Australia,London,SME,42,Web,Monthly,23,4,13.483989943698496,8,-0.04,0,10,420,Card,0,No,No,1,20.49291199088981,Technical,2.0,0,0.66,0.02,70,Satisfied,0
Female,38,Bangladesh,London,Individual,32,Web,Monthly,23,2,2.3202353997671725,5,0.32,27,20,640,Card,0,No,No,2,23.628089126455563,Service,2.0,0,0.73,0.13,8,Satisfied,0
Male,40,Australia,Berlin,SME,44,Web,Monthly,25,0,15.060616728167687,5,0.1,18,10,440,Card,0,No,No,0,15.547300536346942,Technical,5.0,0,0.52,0.16,25,Satisfied,0
Female,23,Germany,Sydney,SME,57,Web,Monthly,18,7,26.461896774366004,6,0.09,6,50,2850,Bank Transfer,0,No,No,1,29.136870950233828,,4.0,1,0.7,0.31,-29,Neutral,1
Female,61,USA,Delhi,Individual,38,Web,Monthly,3,2,29.617766078774917,3,-0.06,15,10,380,Card,0,No,No,0,40.20891429188365,Service,3.0,0,0.16,0.29,-48,Neutral,2
Male,27,UK,Berlin,Individual,16,Referral,Monthly,9,4,28.02504953153766,3,-0.06,4,10,160,Card,2,No,No,2,42.20932678143511,Billing,3.0,0,0.12,0.31,-32,Neutral,1
Female,36,India,Delhi,SME,39,Mobile,Yearly,17,3,17.659437996434278,12,0.08,16,20,780,Card,0,No,No,1,27.54346362808741,Service,2.0,0,0.55,0.07,11,Unsatisfied,0
Female,34,Germany,Sydney,Individual,55,Web,Quarterly,40,7,20.823568137583077,4,0.12,2,30,1650,Card,1,Yes,No,3,25.511048499776265,,4.0,0,0.36,0.09,-48,Neutral,1
Male,35,USA,London,Individual,25,Web,Monthly,13,6,12.956170289333883,4,-0.12,5,30,750,Bank Transfer,0,No,No,0,31.352826775362903,Technical,5.0,0,0.81,0.02,-31,Satisfied,1
Female,45,Germany,New York,SME,3,Referral,Monthly,23,4,11.033784227711788,3,-0.07,14,50,150,Card,1,Yes,No,0,37.00777023272407,Billing,3.0,1,0.41,0.11,17,Neutral,2
Female,25,Bangladesh,Berlin,Enterprise,4,Web,Monthly,0,6,15.947067099182409,5,-0.03,24,100,400,Card,1,No,No,0,9.301305146291176,Billing,5.0,0,0.8,0.11,-29,Neutral,1
Male,65,USA,Berlin,SME,29,Web,Monthly,38,3,16.80765566280358,8,0.09,27,50,1450,Card,2,No,Yes,0,17.042739864699747,Technical,3.0,0,0.63,0.07,11,Satisfied,1
Male,44,USA,New York,Individual,24,Web,Quarterly,7,4,10.987008628127654,6,0.08,8,20,480,Card,2,Yes,Yes,1,35.97997678339099,Service,3.0,0,0.3,0.23,-61,Satisfied,1
Female,74,Germany,Dhaka,SME,18,Web,Monthly,13,6,16.866323422094553,4,-0.13,16,30,540,Bank Transfer,0,No,Yes,0,38.25131159528682,Billing,1.0,1,0.8,0.45,15,Neutral,1
Female,27,Canada,London,SME,15,Mobile,Monthly,20,7,18.996570623970232,3,-0.1,0,10,150,Bank Transfer,1,Yes,No,3,34.51176708632131,Service,3.0,0,0.55,0.5,-39,Unsatisfied,0
Male,22,India,London,Individual,24,Referral,Quarterly,22,7,19.916754007314275,6,0.18,16,50,1200,Card,1,No,No,3,5.387087773321618,,3.0,0,0.85,0.37,-10,Unsatisfied,0
Female,29,Australia,Toronto,Enterprise,23,Mobile,Yearly,27,4,12.65618404409794,2,-0.03,5,20,460,Bank Transfer,1,No,Yes,3,16.915167883589973,Technical,3.0,0,0.17,0.47,24,Satisfied,2
Female,26,Bangladesh,Sydney,SME,3,Web,Monthly,1,7,5.6898803034289305,6,0.07,0,20,60,Card,0,Yes,No,2,37.81728489722249,,2.0,0,0.26,0.32,46,Satisfied,0
Female,35,India,Toronto,Individual,59,Mobile,Yearly,20,2,17.670739802099448,1,-0.07,9,100,5900,PayPal,0,No,Yes,1,36.39817507943858,,4.0,1,0.76,0.35,33,Neutral,0
Female,73,Australia,Sydney,Individual,56,Web,Quarterly,33,2,24.16327043830693,5,0.3,25,20,1120,PayPal,0,No,Yes,0,4.840589789964454,Billing,1.0,1,0.56,0.5,21,Satisfied,3
Male,60,USA,London,Individual,25,Web,Quarterly,8,7,17.439562353635885,5,-0.08,0,50,1250,PayPal,2,No,No,0,21.22232752079584,Billing,3.0,0,0.48,0.42,6,Satisfied,1
Female,46,UK,Delhi,Individual,21,Referral,Quarterly,32,1,18.572463779715743,7,-0.02,15,50,1050,PayPal,1,No,No,1,23.916811632275177,,4.0,1,0.25,0.38,25,Satisfied,0
Female,22,Australia,London,Enterprise,34,Web,Monthly,6,4,16.92330439644467,7,-0.1,41,30,1020,Card,1,No,No,1,16.620488905875305,,3.0,0,0.75,0.45,57,Neutral,1
Male,23,Australia,London,Individual,59,Mobile,Monthly,12,2,9.853017868929689,6,0.28,5,20,1180,Bank Transfer,0,No,No,1,32.71625689130404,Billing,3.0,1,0.69,0.06,-22,Unsatisfied,1
Female,37,India,Dhaka,SME,18,Referral,Quarterly,28,7,21.64535002067653,5,-0.15,22,50,900,Bank Transfer,0,Yes,No,3,34.57927801265956,Technical,2.0,0,0.67,0.03,73,Neutral,2
Female,58,Canada,Toronto,Individual,24,Web,Yearly,22,4,24.51726210740281,9,0.21,12,20,480,Bank Transfer,0,No,Yes,1,15.941769182089432,Billing,4.0,0,0.26,0.39,33,Satisfied,0
Male,56,Bangladesh,Dhaka,SME,13,Web,Monthly,25,2,19.78572034554257,3,-0.28,5,10,130,Card,0,No,No,3,17.244204842388434,,3.0,0,0.42,0.08,8,Unsatisfied,1
Female,71,India,Dhaka,SME,14,Mobile,Monthly,29,1,11.954553523264096,2,-0.02,1,100,1400,Card,1,No,No,1,29.25548157702312,Technical,2.0,0,0.27,0.18,54,Satisfied,1
Female,38,India,Sydney,SME,8,Web,Quarterly,12,7,14.034324218868612,8,0.11,2,70,560,Card,0,Yes,Yes,2,30.079244639898175,Technical,5.0,1,0.67,0.23,31,Neutral,0
Female,19,Australia,Toronto,Individual,19,Mobile,Monthly,27,0,10.350380983071794,4,-0.04,0,50,950,PayPal,1,No,Yes,0,16.339294522109803,Service,3.0,0,0.7,0.18,0,Neutral,0
Male,51,Bangladesh,Sydney,Individual,22,Web,Monthly,2,4,21.89758299184224,5,-0.04,4,30,660,Bank Transfer,0,No,No,1,21.55442356942135,Billing,4.0,0,0.2,0.43,15,Satisfied,0
Female,60,Canada,Sydney,Individual,15,Web,Quarterly,31,2,7.330706429844393,5,-0.18,9,20,300,PayPal,0,No,Yes,2,37.5253526032862,,3.0,0,0.74,0.27,10,Neutral,1
Female,43,Bangladesh,Toronto,Individual,5,Mobile,Monthly,12,4,10.351843280314077,4,0.14,12,10,50,Card,0,No,No,2,30.18967498686494,Technical,4.0,0,0.82,0.48,23,Satisfied,2
Male,62,Bangladesh,Berlin,SME,22,Mobile,Monthly,16,2,7.879376472207539,5,0.04,42,30,660,PayPal,0,No,No,0,26.244802805373105,Technical,5.0,0,0.46,0.27,20,Unsatisfied,1
Male,56,UK,London,SME,16,Referral,Monthly,13,7,6.178800293160647,1,0.1,1,10,160,PayPal,0,No,No,2,24.32762067379525,Billing,4.0,1,0.12,0.42,-9,Unsatisfied,1
Male,37,Canada,Toronto,Individual,10,Web,Quarterly,13,6,20.46906575058723,6,-0.08,33,20,200,Card,0,No,No,0,19.220071090604524,,3.0,0,0.47,0.46,13,Satisfied,0
Female,41,India,Toronto,Individual,11,Referral,Yearly,22,5,11.037198028088644,4,-0.29,2,20,220,Card,0,No,No,2,12.357430864341664,Billing,3.0,0,0.76,0.49,78,Satisfied,1
Female,46,India,Delhi,Individual,33,Web,Monthly,23,0,14.74888803376732,5,-0.0,1,10,330,PayPal,1,No,No,0,6.011350423211447,Billing,3.0,0,0.43,0.27,49,Satisfied,1
Male,63,Canada,New York,SME,19,Mobile,Monthly,10,0,12.79659932002003,3,0.14,6,20,380,Card,0,No,Yes,2,18.769340386826627,Billing,4.0,0,0.8,0.14,33,Satisfied,0
Male,67,India,Dhaka,Individual,21,Mobile,Quarterly,20,2,16.687576176687536,8,-0.19,5,50,1050,PayPal,0,No,No,2,46.05175812560347,Service,5.0,0,0.6,0.05,-16,Unsatisfied,2
Male,60,UK,London,Individual,1,Mobile,Monthly,33,6,8.724807225645531,4,0.29,7,50,50,Card,0,No,Yes,0,10.31990493826131,Billing,4.0,0,0.69,0.17,-29,Satisfied,1
Female,67,UK,Toronto,Enterprise,7,Web,Yearly,25,7,11.948014937084416,2,-0.21,13,20,140,Card,0,No,No,1,44.00211709182064,,3.0,0,0.51,0.24,-45,Satisfied,0
Female,66,Canada,Toronto,SME,58,Referral,Yearly,17,4,15.084304398942413,6,0.21,3,30,1740,PayPal,0,No,No,1,12.784713285531698,Service,4.0,0,0.79,0.06,19,Unsatisfied,0
Female,37,Australia,Delhi,SME,52,Web,Quarterly,40,6,13.971725681878867,2,0.11,5,50,2600,Card,1,No,No,1,31.285170268795014,Technical,3.0,0,0.82,0.49,6,Neutral,0
Male,42,Canada,New York,Enterprise,6,Web,Monthly,16,4,14.528436855303006,8,-0.1,1,100,600,PayPal,0,No,No,3,12.700994718943418,Billing,3.0,1,0.29,0.36,-49,Satisfied,1
Female,35,India,Toronto,SME,51,Mobile,Monthly,18,3,8.558653869197581,5,0.11,14,10,510,Card,1,No,No,0,31.388571521703213,,3.0,1,0.76,0.43,27,Satisfied,0
Female,27,Bangladesh,Sydney,SME,45,Mobile,Quarterly,19,4,16.198426237648796,6,-0.05,8,70,3150,Card,0,No,No,1,20.75125744534242,Technical,3.0,0,0.26,0.24,50,Satisfied,1
Female,45,India,New York,SME,48,Web,Monthly,2,0,11.124917705216092,4,0.04,1,10,480,Bank Transfer,0,No,No,3,26.16673920185976,,2.0,1,0.72,0.39,10,Satisfied,1
Male,65,Bangladesh,London,Individual,59,Mobile,Quarterly,40,4,17.092537159410526,1,0.14,0,10,590,Card,0,No,Yes,1,16.162147251434785,Billing,3.0,0,0.67,0.07,-42,Satisfied,2
Male,72,India,Delhi,Individual,45,Web,Monthly,11,4,14.658152122797135,2,0.44,2,10,450,PayPal,1,No,No,1,10.883497914117267,Billing,3.0,0,0.73,0.32,-47,Unsatisfied,1
Female,27,UK,Sydney,Enterprise,10,Mobile,Yearly,16,4,7.445230344902088,7,0.41,2,20,200,Card,1,No,No,2,23.891990024366454,Technical,3.0,0,0.24,0.26,-15,Satisfied,2
Male,29,Bangladesh,Delhi,Individual,33,Web,Quarterly,14,6,7.4847865766942,6,0.11,4,30,990,Card,1,No,No,3,38.75293605418545,Technical,3.0,0,0.89,0.45,9,Satisfied,2
Female,50,Bangladesh,New York,Individual,36,Web,Monthly,18,1,18.316598734820325,1,0.3,2,10,360,PayPal,0,No,No,0,29.8690741708337,,5.0,0,0.77,0.19,38,Satisfied,0
Male,27,Bangladesh,London,Individual,24,Web,Yearly,17,6,18.25015057784304,6,0.04,0,20,480,PayPal,0,No,No,1,29.759357369838675,Billing,5.0,0,0.85,0.42,47,Unsatisfied,0
Male,56,Australia,Berlin,SME,5,Web,Monthly,16,5,11.413642884907166,7,-0.14,28,50,250,Card,0,No,No,3,9.469203683698735,Technical,3.0,0,0.64,0.17,19,Satisfied,1
Female,31,Australia,Sydney,Individual,11,Web,Monthly,20,4,17.44849903420906,4,-0.07,1,20,220,PayPal,1,No,No,4,22.720968364343737,Billing,4.0,0,0.15,0.23,-82,Unsatisfied,0
Female,72,USA,Berlin,SME,18,Web,Quarterly,10,5,15.6829885477103,4,0.09,0,50,900,Card,1,No,No,0,27.90055507243788,Technical,3.0,2,0.6,0.4,-11,Neutral,2
Male,56,Germany,London,Individual,34,Web,Monthly,13,1,18.806840099428317,8,0.02,4,70,2380,Card,0,Yes,No,6,12.60782410875039,Service,5.0,0,0.71,0.34,23,Unsatisfied,0
Female,42,Canada,London,Individual,43,Web,Monthly,15,2,31.40167022609536,6,-0.05,6,20,860,PayPal,0,Yes,No,1,30.48619388770538,Billing,5.0,0,0.74,0.07,-19,Satisfied,0
Male,42,USA,Dhaka,Individual,30,Web,Yearly,27,3,1.0,4,0.26,20,100,3000,Card,0,No,Yes,0,15.083969769304815,,3.0,0,0.63,0.31,62,Neutral,0
Female,57,USA,Berlin,Enterprise,59,Web,Quarterly,11,5,17.734880775874245,5,-0.01,3,20,1180,PayPal,0,No,Yes,1,31.72948289467205,Technical,3.0,0,0.57,0.1,51,Neutral,0
Male,70,UK,New York,Individual,14,Referral,Yearly,38,1,16.16300272616156,4,0.29,13,20,280,PayPal,0,Yes,No,0,31.975170898627606,Billing,4.0,1,0.58,0.24,-6,Unsatisfied,1
Female,47,Germany,Dhaka,Individual,3,Web,Monthly,25,2,23.121947129807133,6,-0.1,9,50,150,Bank Transfer,0,No,No,1,14.857827941143414,Technical,2.0,0,0.62,0.05,100,Unsatisfied,0
Female,57,Australia,Dhaka,Individual,10,Web,Quarterly,19,4,9.186654886066016,3,-0.25,0,10,100,Card,0,No,No,1,50.27395975298755,Service,4.0,0,0.39,0.11,12,Satisfied,2
Female,48,Germany,London,SME,36,Web,Monthly,15,1,23.35590600483953,5,-0.14,10,50,1800,PayPal,0,Yes,No,1,38.59732991947698,Billing,3.0,0,0.64,0.05,4,Unsatisfied,0
Male,46,Australia,Delhi,Individual,23,Referral,Monthly,2,5,9.254180557330372,7,-0.02,5,20,460,Card,0,No,No,0,1.0,Service,4.0,0,0.19,0.27,100,Neutral,0
Male,30,UK,Sydney,SME,38,Mobile,Yearly,12,1,15.4955121468887,3,0.02,18,50,1900,Card,0,No,No,2,18.725242120060305,Billing,4.0,0,0.12,0.41,-5,Neutral,0
Male,36,Bangladesh,Delhi,Individual,23,Mobile,Monthly,7,0,5.636990122063507,3,-0.24,5,10,230,Card,2,No,No,0,3.237102916895779,Technical,2.0,1,0.36,0.16,37,Unsatisfied,2
Female,63,India,Sydney,SME,31,Web,Quarterly,16,7,23.766857331722605,7,0.33,36,30,930,PayPal,0,Yes,No,0,15.750782811822493,Technical,2.0,0,0.34,0.48,-6,Satisfied,1
Female,68,Australia,Toronto,Individual,14,Web,Quarterly,7,4,29.20734100500838,6,-0.07,0,50,700,Card,2,Yes,No,2,4.551052898803221,Technical,3.0,0,0.55,0.44,40,Satisfied,0
Female,45,India,Sydney,Individual,11,Referral,Monthly,10,1,11.108656288467053,3,0.02,15,10,110,Card,0,No,Yes,1,15.668488393817425,,2.0,1,0.46,0.3,25,Neutral,2
Male,62,Australia,Dhaka,SME,9,Mobile,Quarterly,18,7,7.601266769439133,2,0.09,7,50,450,PayPal,0,No,No,0,42.10259156499238,Billing,5.0,0,0.57,0.4,21,Neutral,0
Male,48,USA,Delhi,Individual,57,Web,Quarterly,10,0,10.355339304529794,4,0.05,13,20,1140,PayPal,1,No,No,2,24.219947551092083,Service,5.0,1,0.16,0.24,10,Unsatisfied,2
Male,74,India,Delhi,Individual,37,Web,Monthly,0,6,32.340063922429486,2,-0.3,13,50,1850,PayPal,1,No,Yes,1,5.878935134833814,Service,3.0,0,0.33,0.3,48,Unsatisfied,2
Female,45,UK,New York,Individual,11,Web,Monthly,22,5,12.514799395890185,4,0.12,1,20,220,Card,0,Yes,Yes,0,32.96064566547317,Service,5.0,0,0.22,0.42,16,Satisfied,2
Female,55,USA,Dhaka,SME,19,Web,Monthly,20,5,18.222392086692285,3,-0.24,1,50,950,Card,0,Yes,No,0,36.39840857375512,Service,3.0,1,0.13,0.44,-23,Unsatisfied,0
